Date,Network,Profile,Audience,Net Audience Growth,Audience Gained,Sent Messages (Total),Published Posts (Total),Received Messages (Total),Impressions,Video Views,Engagements,Engagement Rate (per Impression),Reactions,Comments,Shares,Post Link Clicks,Saves,Other Post Clicks,Other Engagements,Sent Tweets (Twitter),Sent Quote Tweets (Twitter),Sent @Replies (Twitter),Sent Direct Messages (Twitter),Sent Posts (Facebook),Sent Ad Posts (Facebook),Sent Comments (Facebook),Sent Ad Comments (Facebook),Sent Private Messages (Facebook),Sent Posts (Instagram),Sent Stories (Instagram),Sent Reels (Instagram),Sent Comments (Instagram),Sent Ad Comments (Instagram),Sent Posts (LinkedIn),Sent Comments (LinkedIn),Sent Videos (TikTok),Sent Comments (TikTok),Sent Pins (Pinterest),Sent Saves (Pinterest),Sent Videos (YouTube),Received Mentions (Twitter),Received Direct Messages (Twitter),Received Retweets (Twitter),Received Quote Tweets (Twitter),Received New Follower Alerts (Twitter),Received Wall Posts (Facebook),Received Comments (Facebook),Received Ad Comments (Facebook),Received Private Messages (Facebook),Received Comments (Instagram),Received Ad Comments (Instagram),Received Mentions (Instagram),Received Media Tags (Instagram),Received Comments (LinkedIn),Sent Direct Messages (Instagram),Received Direct Messages (Instagram),Received Comments (TikTok)
4/14/2022,Twitter,'@citizenconnect3,234,2,2,4,4,4,292,34,15,5.14%,6,1,1,1,,0,6,4,0,0,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,
4/14/2022,Facebook,Citizenconnect.us,315,2,2,4,4,147,"15,055",198,728,4.84%,262,163,70,160,,73,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,
4/14/2022,Instagram,citizenconnectus,305,1,1,4,4,0,293,3,7,2.39%,7,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,LinkedIn,CitizenConnectUS,37,0,0,4,4,0,14,1,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,Twitter,'@citizenconnect3,234,0,0,4,4,10,354,24,23,6.50%,14,1,6,0,,0,2,4,0,0,,,,,,,,,,,,,,,,,,,2,,6,,2,,,,,,,,,,,,
4/15/2022,Facebook,Citizenconnect.us,324,9,9,5,4,139,"18,688",141,884,4.73%,385,153,113,166,,67,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,2,137,,,,,,,,,
4/15/2022,Instagram,citizenconnectus,306,1,1,4,4,2,349,2,5,1.43%,3,0,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
4/15/2022,LinkedIn,CitizenConnectUS,37,0,0,4,4,0,17,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,Twitter,'@citizenconnect3,236,2,2,0,,2,113,5,2,1.77%,0,0,0,0,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
4/16/2022,Facebook,Citizenconnect.us,326,1,4,0,0,102,"19,119",50,650,3.40%,282,111,76,140,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,101,,,,,,,,,
4/16/2022,Instagram,citizenconnectus,306,0,0,0,0,1,336,6,14,4.17%,13,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
4/16/2022,LinkedIn,CitizenConnectUS,37,0,0,0,0,0,3,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,Twitter,'@citizenconnect3,238,2,2,1,1,3,96,1,0,0%,0,0,0,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,
4/17/2022,Facebook,Citizenconnect.us,332,6,6,1,1,61,"17,355",34,676,3.90%,290,64,73,181,,68,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,
4/17/2022,Instagram,citizenconnectus,306,0,0,1,1,1,700,2,1,0.14%,1,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4/17/2022,LinkedIn,CitizenConnectUS,37,0,0,1,1,0,4,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,Twitter,'@citizenconnect3,239,1,1,4,4,6,750,3,27,3.60%,12,0,4,3,,0,8,4,0,0,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,
4/18/2022,Facebook,Citizenconnect.us,338,6,6,4,4,15,"8,986",13,260,2.89%,111,20,38,66,,25,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
4/18/2022,Instagram,citizenconnectus,310,4,4,4,4,2,546,3,10,1.83%,10,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,LinkedIn,CitizenConnectUS,37,0,0,4,4,0,33,3,2,6.06%,1,0,0,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,Twitter,'@citizenconnect3,240,1,1,4,4,7,884,19,39,4.41%,8,0,6,7,,0,18,4,0,0,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,
4/19/2022,Facebook,Citizenconnect.us,340,2,4,4,4,2,"4,864",9,30,0.62%,9,1,3,1,,16,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4/19/2022,Instagram,citizenconnectus,311,1,1,4,4,1,162,3,12,7.41%,12,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,LinkedIn,CitizenConnectUS,37,0,0,4,4,1,4,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,
4/20/2022,Twitter,'@citizenconnect3,241,1,1,1,1,6,377,2,8,2.12%,4,0,1,1,,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,
4/20/2022,Facebook,Citizenconnect.us,341,2,2,5,5,7,"2,680",3,102,3.81%,52,7,11,25,,7,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
4/20/2022,Instagram,citizenconnectus,310,-1,0,1,1,0,390,5,8,2.05%,8,0,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,LinkedIn,CitizenConnectUS,37,0,0,1,1,0,11,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,Twitter,'@citizenconnect3,243,2,2,4,4,15,"1,275",36,44,3.45%,11,0,6,6,,0,21,4,0,0,,,,,,,,,,,,,,,,,,,,,7,4,4,,,,,,,,,,,,
4/21/2022,Facebook,Citizenconnect.us,350,7,8,4,4,297,"36,910",142,"3,622",9.81%,"1,695",310,437,"1,005",,175,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,295,1,,,,,,,,
4/21/2022,Instagram,citizenconnectus,311,1,2,4,4,2,"4,798",6,10,0.21%,10,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
4/21/2022,LinkedIn,CitizenConnectUS,37,1,1,4,4,1,34,13,3,8.82%,2,0,1,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,
4/22/2022,Twitter,'@citizenconnect3,247,4,4,4,4,5,503,7,24,4.77%,13,0,3,2,,0,6,4,0,0,,,,,,,,,,,,,,,,,,,1,,3,,1,,,,,,,,,,,,
4/22/2022,Facebook,Citizenconnect.us,360,12,12,5,5,237,"32,574",212,"2,578",7.91%,"1,214",264,310,636,,154,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,
4/22/2022,Instagram,citizenconnectus,315,4,4,4,4,3,"4,464",9,9,0.20%,9,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,
4/22/2022,LinkedIn,CitizenConnectUS,39,1,1,4,4,0,63,9,2,3.17%,1,0,0,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,Twitter,'@citizenconnect3,248,1,1,0,,3,165,3,6,3.64%,4,0,1,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,
4/23/2022,Facebook,Citizenconnect.us,361,1,1,0,0,24,"6,838",41,101,1.48%,37,25,8,13,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
4/23/2022,Instagram,citizenconnectus,315,0,0,0,0,0,56,5,4,7.14%,3,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,LinkedIn,CitizenConnectUS,39,0,0,0,0,0,18,1,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
